Chapter number,Macro book,Era,13-chapter cluster,10-chapter Walter cycle,Year or approximate year,Location,POV character or artifact type,Chapter title,Word target,Immediate human conflict,World-system advanced,Walter visible or invisible role,Canon event touched,Divergence status,New lore introduced,Character introduced or developed,Consequence seeded,Payoff target chapter,Editing warning
1,Book I: Chains,Era 1: The Weirwood Wound,01.01 Opening pressure,Walter-shadow 1/9,129,Volantis,Naho,The Laundry Mark,750,A slave mother notices one newborn tag is copied twice.,Labor records,Infant with wrong mark,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Labor records claim tagged before drafting; grounded in the Book I Volantis escape system.,Naho developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 1 returns with altered stakes.",Ch. 27,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
2,Book I: Chains,Era 1: The Weirwood Wound,01.02 Local character introduced,Walter-shadow 2/9,129,Weirwood memory,Larra,Lot Seven Learns Heat,750,Boiling cloth saves a novice but costs fuel.,Health,Baby presence tied to fever row,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Health claim tagged before drafting; grounded in the Book I Volantis escape system.,Larra developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 2 returns with altered stakes.",Ch. 41,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
3,Book I: Chains,Era 1: The Weirwood Wound,01.03 Material system problem,Walter-shadow 3/9,129,laundry yard,Qavo,The Red Ink Man,750,An accountant hides a mortality discrepancy.,Ledgers,Walter becomes a number problem,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Ledgers claim tagged before drafting; grounded in the Book I Volantis escape system.,Qavo developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 3 returns with altered stakes.",Ch. 55,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
4,Book I: Chains,Era 1: The Weirwood Wound,01.04 Social consequence,Walter-shadow 4/9,129,red temple precinct,Betharios,Corpse Cart Weather,750,Rain blurs ink and creates a false transfer.,Escape logistics,First paperwork gap,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Escape logistics claim tagged before drafting; grounded in the Book I Volantis escape system.,Betharios developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 4 returns with altered stakes.",Ch. 69,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
5,Book I: Chains,Era 1: The Weirwood Wound,01.05 Hidden Walter effect,Walter-shadow 5/9,129,corpse quay,Sella,Blue Hands,750,A dyer sees cleaner water preserve color.,Chemistry craft,Toddler repeats pattern by touch,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Chemistry craft claim tagged before drafting; grounded in the Book I Volantis escape system.,Sella developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 5 returns with altered stakes.",Ch. 83,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
6,Book I: Chains,Era 1: The Weirwood Wound,01.06 Unexpected cost,Walter-shadow 6/9,129,Volantis,Otherys,The Boiled Rag,750,A wound washer uses boiled linen and loses fewer men.,Health,Walter imitates adult instruction badly,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Health claim tagged before drafting; grounded in the Book I Volantis escape system.,Otherys developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 6 returns with altered stakes.",Ch. 97,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
7,Book I: Chains,Era 1: The Weirwood Wound,01.07 Counterforce reaction,Walter-shadow 7/9,129,Weirwood memory,Marselen,Flame Letters,750,A red copyist teaches a slave symbol by accident.,Knowledge,Walter watches letters,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Knowledge claim tagged before drafting; grounded in the Book I Volantis escape system.,Marselen developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 7 returns with altered stakes.",Ch. 20,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
8,Book I: Chains,Era 1: The Weirwood Wound,01.08 Adaptation,Walter-shadow 8/9,129,laundry yard,Yna,Tears for Trade,750,A woman seeks tattoo reassignment to hide pregnancy.,Slavery classification,Walter notes mark logic,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Slavery classification claim tagged before drafting; grounded in the Book I Volantis escape system.,Yna developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 8 returns with altered stakes.",Ch. 34,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
9,Book I: Chains,Era 1: The Weirwood Wound,01.09 Partial victory,Walter-shadow 9/9,129,red temple precinct,Draqor,The Young Tiger Laughs,750,Noble amusement protects a useful oddity.,Patronage,"Walter becomes novelty, not prodigy",Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Patronage claim tagged before drafting; grounded in the Book I Volantis escape system.,Draqor developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 9 returns with altered stakes.",Ch. 48,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
10,Book I: Chains,Era 1: The Weirwood Wound,01.10 Walter chapter / shadow reveal,Walter POV,129,corpse quay,Walter White,I Will Not Be Owned,750,Memory fragment: gods offer purpose; he refuses internally.,Magic/protagonist,First direct vow,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Magic/protagonist claim tagged before drafting; grounded in the Book I Volantis escape system.,Walter White developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 10 returns with altered stakes.",Ch. 62,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
